species_folder,images
00175_Animalia_Arthropoda_Insecta_Blattodea_Blaberidae_Aptera_fusca,60
00176_Animalia_Arthropoda_Insecta_Blattodea_Blaberidae_Panchlora_nivea,60
00177_Animalia_Arthropoda_Insecta_Blattodea_Blaberidae_Pycnoscelus_surinamensis,60
00178_Animalia_Arthropoda_Insecta_Blattodea_Blattidae_Blatta_orientalis,60
00179_Animalia_Arthropoda_Insecta_Blattodea_Blattidae_Periplaneta_americana,60
00180_Animalia_Arthropoda_Insecta_Blattodea_Blattidae_Periplaneta_australasiae,60
00181_Animalia_Arthropoda_Insecta_Blattodea_Blattidae_Periplaneta_fuliginosa,60
00182_Animalia_Arthropoda_Insecta_Blattodea_Ectobiidae_Pseudomops_septentrionalis,60
00183_Animalia_Arthropoda_Insecta_Coleoptera_Brentidae_Arrhenodes_minutus,60
00184_Animalia_Arthropoda_Insecta_Coleoptera_Buprestidae_Agrilus_planipennis,60
00185_Animalia_Arthropoda_Insecta_Coleoptera_Buprestidae_Buprestis_aurulenta,60
00186_Animalia_Arthropoda_Insecta_Coleoptera_Buprestidae_Euchroma_giganteum,60
00187_Animalia_Arthropoda_Insecta_Coleoptera_Cantharidae_Atalantycha_bilineata,60
00188_Animalia_Arthropoda_Insecta_Coleoptera_Cantharidae_Cantharis_fusca,60
00189_Animalia_Arthropoda_Insecta_Coleoptera_Cantharidae_Cantharis_livida,60
00190_Animalia_Arthropoda_Insecta_Coleoptera_Cantharidae_Cantharis_rustica,60
00191_Animalia_Arthropoda_Insecta_Coleoptera_Cantharidae_Chauliognathus_basalis,60
00192_Animalia_Arthropoda_Insecta_Coleoptera_Cantharidae_Chauliognathus_marginatus,60
00193_Animalia_Arthropoda_Insecta_Coleoptera_Cantharidae_Chauliognathus_pensylvanicus,60
00194_Animalia_Arthropoda_Insecta_Coleoptera_Cantharidae_Rhagonycha_fulva,60
00195_Animalia_Arthropoda_Insecta_Coleoptera_Carabidae_Calosoma_scrutator,60
00196_Animalia_Arthropoda_Insecta_Coleoptera_Carabidae_Carabus_coriaceus,60
