epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,628.035,1.54614,2.20007,0.02381,0.51046,0.49483,0.47224,0.23393,1.84378,1.9555,0.04339,0.00066616,0.00066616,0.00066616
2,1236.5,1.59554,1.4673,0.02457,0.66986,0.49787,0.53414,0.28964,1.66465,1.72402,0.03782,0.00129984,0.00129984,0.00129984
3,1842.1,1.54306,1.36813,0.02373,0.66104,0.51925,0.55896,0.30603,1.68918,1.46917,0.03961,0.00190052,0.00190052,0.00190052
4,2450.22,1.47284,1.27709,0.02179,0.70987,0.59939,0.6509,0.3687,1.54828,1.42698,0.03485,0.0018515,0.0018515,0.0018515
5,3055.13,1.3938,1.1666,0.02064,0.71712,0.63339,0.65378,0.35751,1.68741,1.33571,0.03767,0.001802,0.001802,0.001802
6,3660.08,1.34053,1.11879,0.01962,0.73844,0.61094,0.68581,0.38739,1.61421,1.23232,0.04001,0.0017525,0.0017525,0.0017525
7,4264.62,1.29728,1.04262,0.01895,0.70447,0.61731,0.67035,0.37729,1.56823,1.24262,0.03691,0.001703,0.001703,0.001703
8,4869.26,1.27922,1.01058,0.01835,0.72853,0.61178,0.67875,0.39434,1.61503,1.13153,0.03907,0.0016535,0.0016535,0.0016535
9,5474.12,1.25217,0.97443,0.01789,0.73242,0.63283,0.66206,0.41122,1.51681,1.1982,0.03503,0.001604,0.001604,0.001604
10,6078.57,1.22822,0.93014,0.0174,0.71697,0.67758,0.72237,0.42365,1.54338,1.19433,0.03617,0.0015545,0.0015545,0.0015545
11,6683.3,1.19835,0.89568,0.01674,0.68345,0.66282,0.67532,0.42878,1.49504,1.27159,0.03498,0.001505,0.001505,0.001505
12,7288.08,1.18793,0.8856,0.01639,0.78338,0.64802,0.74563,0.43573,1.51188,0.93664,0.03596,0.0014555,0.0014555,0.0014555
13,7892.85,1.16458,0.85515,0.0162,0.73306,0.67295,0.76014,0.4876,1.41537,0.93752,0.03235,0.001406,0.001406,0.001406
14,8497.1,1.14456,0.82696,0.01572,0.75465,0.62006,0.73814,0.46338,1.44343,1.04991,0.03355,0.0013565,0.0013565,0.0013565
