epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,515.507,1.35856,1.75887,0.02021,0.67263,0.60851,0.62064,0.37336,1.39847,1.40844,0.03136,0.00999493,0.00333164,0.00999493,0.00333164,0.00999493,0.00333164,0.00999493,0.00333164
2,975.049,1.26787,1.13229,0.01845,0.70897,0.60365,0.60702,0.34132,1.5759,1.37182,0.03902,0.019797,0.00659899,0.019797,0.00659899,0.019797,0.00659899,0.019797,0.00659899
3,1420.64,1.33544,1.15949,0.02022,0.68053,0.5892,0.57143,0.33113,1.52607,1.50365,0.03593,0.029401,0.00980034,0.029401,0.00980034,0.029401,0.00980034,0.029401,0.00980034
4,1863.53,1.37021,1.15004,0.02077,0.5949,0.56957,0.54149,0.30722,1.61621,1.54326,0.03778,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2306.48,1.33211,1.09401,0.01972,0.75533,0.62188,0.65683,0.3535,1.66993,1.23349,0.04192,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2749.5,1.28852,1.01437,0.01877,0.75487,0.60486,0.6659,0.39668,1.62324,1.27518,0.03811,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3192.59,1.25994,0.98609,0.01849,0.68954,0.59136,0.61849,0.36778,1.59016,1.31419,0.03637,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3635.46,1.23048,0.93925,0.01764,0.74121,0.53617,0.61173,0.33697,1.54583,1.52479,0.03686,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,4077.46,1.19653,0.89787,0.0173,0.71635,0.65836,0.70351,0.42533,1.56336,1.26521,0.03836,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4519.76,1.18588,0.84245,0.01677,0.6854,0.69605,0.71812,0.42597,1.575,1.04446,0.03709,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,4961.83,1.17017,0.83594,0.01642,0.70897,0.66079,0.68985,0.40285,1.59585,1.41666,0.04002,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,5403.82,1.14202,0.81932,0.01624,0.73485,0.67726,0.71483,0.3948,1.58743,1.21012,0.03784,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,5846.08,1.14155,0.79773,0.01597,0.67963,0.67318,0.67947,0.42521,1.40284,1.27529,0.031,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,6288.33,1.12129,0.79244,0.01557,0.74281,0.69353,0.74564,0.45668,1.40326,1.14562,0.03075,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,6730.57,1.09481,0.75715,0.01522,0.73248,0.66245,0.71408,0.42972,1.65301,1.12096,0.03592,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,7172.69,1.09767,0.76373,0.01535,0.71412,0.73191,0.74949,0.47386,1.33804,1.18908,0.02876,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,7614.94,1.08618,0.72792,0.01503,0.71572,0.69362,0.72096,0.44788,1.39246,1.21953,0.03076,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,8056.89,1.07289,0.71491,0.01476,0.74118,0.66326,0.71981,0.4617,1.40219,1.31682,0.03083,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,8499.16,1.06312,0.71552,0.01473,0.79812,0.65653,0.75236,0.46586,1.46933,1.15216,0.03278,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
