epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1595.52,1.68541,3.15222,0.01464,0.41516,0.41457,0.3776,0.2098,1.80139,2.12751,0.02289,0.00999668,0.00333223,0.00999668,0.00333223,0.00999668,0.00333223,0.00999668,0.00333223
2,3098.7,1.65596,2.06446,0.01461,0.37366,0.36125,0.31602,0.15321,1.96344,2.41301,0.02604,0.0195018,0.00650059,0.0195018,0.00650059,0.0195018,0.00650059,0.0195018,0.00650059
3,4578.76,1.76242,2.16899,0.01589,0.33478,0.36071,0.32631,0.16337,1.96269,2.33616,0.02605,0.0285118,0.00950395,0.0285118,0.00950395,0.0285118,0.00950395,0.0285118,0.00950395
4,6054.06,1.82147,2.21545,0.01658,0.33389,0.38973,0.33044,0.16575,1.96748,2.22952,0.02519,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
5,7518.75,1.75995,2.03558,0.01573,0.36051,0.43103,0.36128,0.19234,1.83564,1.98884,0.02251,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
6,8983.4,1.71798,1.8947,0.01487,0.41767,0.43851,0.39627,0.22161,1.83668,1.88368,0.02253,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
7,10715.8,1.67592,1.80477,0.0145,0.48352,0.48364,0.45629,0.26349,1.76858,1.78069,0.02092,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
8,12398.5,1.63352,1.70077,0.01398,0.51242,0.47494,0.48154,0.28483,1.74965,1.76892,0.02017,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
9,13903.1,1.60005,1.64539,0.01338,0.51976,0.50713,0.48534,0.28501,1.73762,1.69667,0.02043,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
10,15400.3,1.56309,1.59633,0.0134,0.54213,0.54219,0.54166,0.31984,1.72755,1.62406,0.02039,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
11,16912.8,1.54466,1.54559,0.01285,0.55982,0.52994,0.5365,0.32788,1.70409,1.56178,0.01946,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
12,18402.7,1.51044,1.49943,0.01274,0.55474,0.53803,0.52687,0.3241,1.72181,1.657,0.01949,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
13,19926.4,1.49547,1.464,0.01241,0.58392,0.52219,0.53443,0.3344,1.66539,1.56317,0.01857,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
14,21419.5,1.48213,1.42252,0.01218,0.59844,0.56988,0.5815,0.36862,1.66135,1.50346,0.01832,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
15,22912.4,1.4683,1.38705,0.01189,0.61657,0.56512,0.59142,0.37673,1.61622,1.5039,0.01764,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
16,24407.3,1.43535,1.34463,0.01181,0.64993,0.56917,0.61075,0.38621,1.63421,1.42462,0.0176,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
17,25902.5,1.44645,1.319,0.01182,0.67246,0.57341,0.63272,0.40011,1.63293,1.38536,0.0183,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
18,27426,1.42479,1.29346,0.01156,0.63099,0.59922,0.61688,0.3941,1.63194,1.39034,0.01746,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
19,28920.1,1.3989,1.26083,0.01128,0.66259,0.59859,0.64212,0.42313,1.59978,1.35787,0.01701,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
20,30406.1,1.38942,1.23057,0.01114,0.63805,0.60297,0.62254,0.41132,1.58572,1.39845,0.01704,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
21,31908.9,1.36861,1.22121,0.0111,0.6859,0.57467,0.62249,0.42586,1.59163,1.42079,0.01635,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
22,33403.8,1.34309,1.1763,0.01087,0.7056,0.60607,0.65992,0.44493,1.57689,1.30481,0.01657,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
23,34893.3,1.3395,1.15016,0.01061,0.68279,0.61191,0.64722,0.43789,1.56873,1.3413,0.01635,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
24,36383.7,1.32326,1.11242,0.01056,0.70395,0.62228,0.6693,0.45644,1.5546,1.2999,0.01606,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
25,37879.1,1.31329,1.10858,0.01039,0.71711,0.61911,0.67249,0.46325,1.55572,1.28695,0.01598,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
26,39375.7,1.29212,1.07081,0.01003,0.71741,0.62746,0.67484,0.46251,1.54774,1.28075,0.01575,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
27,40875.3,1.27708,1.05179,0.01001,0.70066,0.63522,0.677,0.46491,1.55782,1.25963,0.01575,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
28,42374.5,1.26422,1.0244,0.00992,0.69422,0.64057,0.67974,0.46419,1.54657,1.25301,0.01592,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
29,43870.5,1.2511,1.00834,0.00961,0.70336,0.63813,0.67956,0.4686,1.5362,1.25645,0.01561,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
30,45380.9,1.23252,0.99192,0.00957,0.73392,0.61799,0.68295,0.47292,1.53179,1.27986,0.01541,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
