epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1270.23,1.85555,2.97933,0.01296,0.43954,0.40044,0.38413,0.19999,1.89556,1.99819,0.01897,0.0099979,0.00333263,0.0099979,0.00333263,0.0099979,0.00333263,0.0099979,0.00333263
2,2409.48,1.82615,1.92237,0.01334,0.45358,0.43755,0.39889,0.20644,1.96388,1.91374,0.02112,0.0196679,0.00655598,0.0196679,0.00655598,0.0196679,0.00655598,0.0196679,0.00655598
3,3526.74,1.95603,2.02742,0.01495,0.31405,0.33285,0.28936,0.132,2.05958,2.2026,0.02197,0.029008,0.00966932,0.029008,0.00966932,0.029008,0.00966932,0.029008,0.00966932
4,4636.58,2.01083,2.12365,0.01559,0.43369,0.40208,0.37545,0.16485,2.10774,2.03605,0.02287,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
5,5746.24,1.95798,1.92855,0.01458,0.42312,0.45276,0.40374,0.18847,2.03906,1.80138,0.02124,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
6,6855.78,1.89964,1.77596,0.01401,0.381,0.37502,0.32912,0.16872,1.98161,1.9675,0.02099,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
7,7965.67,1.86198,1.69039,0.01372,0.41409,0.51117,0.43462,0.2208,1.92671,1.68936,0.01943,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
8,9075.27,1.81032,1.59228,0.01308,0.48702,0.50092,0.45125,0.24346,1.88674,1.63545,0.01835,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
9,10185,1.78217,1.53377,0.01283,0.49645,0.4632,0.42766,0.23114,1.84499,1.68273,0.01784,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
10,11294.4,1.76159,1.48864,0.01248,0.53333,0.51961,0.46574,0.25993,1.83917,1.56145,0.01748,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
11,12404.3,1.73842,1.42575,0.01207,0.49779,0.51564,0.46647,0.27007,1.80579,1.55527,0.01722,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
12,13514.1,1.70919,1.40226,0.01188,0.53546,0.53518,0.4994,0.28236,1.79082,1.47757,0.01715,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
13,14623.1,1.68254,1.33016,0.01182,0.54278,0.50106,0.49646,0.28055,1.81108,1.4923,0.01707,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
14,15732.5,1.67867,1.31753,0.01168,0.52531,0.53115,0.50831,0.2968,1.76299,1.48228,0.01669,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
15,16842.3,1.65564,1.26391,0.01117,0.57429,0.54533,0.5324,0.30754,1.75801,1.44458,0.01646,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
16,17951.4,1.64142,1.24264,0.01132,0.60885,0.53561,0.53352,0.30962,1.74376,1.44564,0.01637,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
17,19061.1,1.62983,1.2383,0.01117,0.59966,0.54271,0.54158,0.31624,1.73335,1.39935,0.01612,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
18,20171,1.61722,1.20986,0.01117,0.63044,0.54179,0.56049,0.33571,1.73392,1.38235,0.0158,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
19,21280.2,1.60024,1.17326,0.01097,0.62111,0.51628,0.5425,0.32632,1.73341,1.43147,0.01595,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
20,22389.3,1.58931,1.15403,0.01094,0.65051,0.57837,0.59154,0.36343,1.69772,1.34336,0.01531,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
21,23498.4,1.57822,1.12144,0.0107,0.61102,0.52687,0.54775,0.32984,1.71559,1.36042,0.01578,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
22,24608,1.55907,1.10415,0.0106,0.64352,0.52888,0.54338,0.3368,1.70927,1.33749,0.01575,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
23,25717.4,1.54346,1.08434,0.01036,0.67344,0.52889,0.57158,0.36032,1.69706,1.30544,0.01541,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
24,26828.9,1.53573,1.06919,0.0105,0.67731,0.5361,0.54269,0.33756,1.708,1.37626,0.01548,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
25,27938.9,1.52604,1.05913,0.01011,0.66837,0.54071,0.55624,0.34397,1.69717,1.37937,0.01522,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
26,29048.7,1.50717,1.03715,0.01015,0.71906,0.50728,0.54896,0.34275,1.70569,1.36809,0.01525,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
27,30156.3,1.49885,1.01301,0.01008,0.69463,0.51929,0.5461,0.34607,1.69106,1.40306,0.01509,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
28,31264.9,1.48868,0.99466,0.00983,0.69094,0.52969,0.5656,0.35806,1.70675,1.3396,0.01524,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
29,32373.2,1.48309,0.9817,0.00981,0.71108,0.53295,0.56369,0.36157,1.68324,1.33754,0.01495,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
30,33482.7,1.47281,0.97926,0.00977,0.70002,0.5304,0.5774,0.36809,1.66926,1.36726,0.01482,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215
31,34592.4,1.46267,0.93945,0.00964,0.6753,0.57125,0.59507,0.37478,1.66351,1.30684,0.01479,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
32,35702.8,1.4487,0.93642,0.00952,0.74772,0.53463,0.61049,0.38442,1.66871,1.25409,0.01482,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
33,36813.2,1.43988,0.91679,0.00938,0.7467,0.52635,0.59338,0.37986,1.66797,1.32274,0.01472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
34,37923.1,1.43508,0.91471,0.00928,0.73743,0.55607,0.6147,0.39018,1.65775,1.29878,0.01471,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
35,39033,1.42036,0.89719,0.00926,0.72622,0.55863,0.60595,0.3886,1.65486,1.29387,0.01457,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
36,40143.1,1.41129,0.8744,0.00926,0.71403,0.57068,0.61643,0.39666,1.65637,1.27911,0.01451,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
37,41253.2,1.39835,0.86741,0.00911,0.74436,0.57178,0.62114,0.39779,1.65593,1.24748,0.01454,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
38,42363.6,1.38856,0.85934,0.00903,0.73005,0.56615,0.61467,0.39571,1.64942,1.24533,0.01441,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
39,43473.5,1.38285,0.84518,0.00897,0.74441,0.55836,0.61066,0.39375,1.64668,1.25441,0.01443,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
40,44584.1,1.36365,0.82185,0.00872,0.71859,0.58538,0.61752,0.39649,1.64111,1.2437,0.01438,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
41,45694.1,1.35111,0.82033,0.00856,0.73961,0.57508,0.61889,0.39993,1.63805,1.23823,0.01433,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
42,46804,1.34655,0.80398,0.00864,0.72989,0.57415,0.61607,0.401,1.63581,1.24223,0.01433,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235
43,47914.4,1.33108,0.78863,0.00862,0.72908,0.58136,0.61763,0.4036,1.63223,1.24489,0.01428,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
44,49025,1.31181,0.77069,0.00834,0.73961,0.57769,0.61563,0.40091,1.63703,1.24732,0.01433,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905
45,50135.7,1.31146,0.75876,0.00816,0.75038,0.56765,0.61662,0.4001,1.63836,1.24507,0.01436,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
46,51246.3,1.29642,0.75295,0.00824,0.72928,0.57194,0.60925,0.39832,1.64026,1.25242,0.01437,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
47,52356.5,1.29011,0.74066,0.00822,0.71252,0.58042,0.61038,0.39999,1.64137,1.25495,0.01438,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
48,53467,1.27483,0.72281,0.00795,0.73319,0.5621,0.60979,0.39987,1.64244,1.25923,0.01437,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245
49,54577.4,1.2619,0.71451,0.00782,0.74941,0.55789,0.60889,0.39995,1.64329,1.25998,0.0144,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
50,55688.3,1.25784,0.70404,0.0078,0.75966,0.55173,0.60542,0.39965,1.64401,1.26573,0.01445,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915
